ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n6s-5,1.0,6,-5,99.0,0.0020703824114461
standard,BCwave_b1n6s-5,1.0,6,-5,100.0,0.0021215349957489
standard,BCwave_b1n6s-5,1.0,6,-5,101.0,0.002170048205449
standard,BCwave_b1n6s-5,1.0,6,-5,102.0,0.0022158722061201
standard,BCwave_b1n6s-5,1.0,6,-5,103.0,0.0022684485394159
standard,BCwave_b1n6s-5,1.0,6,-5,104.0,0.0023266316441158
standard,BCwave_b1n6s-5,1.0,6,-5,105.0,0.0023801891772558
standard,BCwave_b1n6s-5,1.0,6,-5,106.0,0.0024399452195454
standard,BCwave_b1n6s-5,1.0,6,-5,107.0,0.0025159743194137
standard,BCwave_b1n6s-5,1.0,6,-5,108.0,0.0025862309435015
standard,BCwave_b1n6s-5,1.0,6,-5,109.0,0.002658005932322
standard,BCwave_b1n6s-5,1.0,6,-5,110.0,0.0027243408072001
standard,BCwave_b1n6s-5,1.0,6,-5,111.0,0.0027921394023708
standard,BCwave_b1n6s-5,1.0,6,-5,112.0,0.0028562718383012
standard,BCwave_b1n6s-5,1.0,6,-5,113.0,0.0029313040991559
standard,BCwave_b1n6s-5,1.0,6,-5,114.0,0.0030204955972974
standard,BCwave_b1n6s-5,1.0,6,-5,115.0,0.003119601166595
standard,BCwave_b1n6s-5,1.0,6,-5,116.0,0.0032243058993407
standard,BCwave_b1n6s-5,1.0,6,-5,117.0,0.0033206911884528
standard,BCwave_b1n6s-5,1.0,6,-5,118.0,0.0034065241606808
standard,BCwave_b1n6s-5,1.0,6,-5,119.0,0.0034974921933976
standard,BCwave_b1n6s-5,1.0,6,-5,120.0,0.0036014659766498
standard,BCwave_b1n6s-5,1.0,6,-5,121.0,0.0037112402495289
standard,BCwave_b1n6s-5,1.0,6,-5,122.0,0.0038225004707563
standard,BCwave_b1n6s-5,1.0,6,-5,123.0,0.0039396561790852
standard,BCwave_b1n6s-5,1.0,6,-5,124.0,0.0040631899440308
standard,BCwave_b1n6s-5,1.0,6,-5,125.0,0.0041874061133421
standard,BCwave_b1n6s-5,1.0,6,-5,126.0,0.0043117668766067
standard,BCwave_b1n6s-5,1.0,6,-5,127.0,0.004442589134027
standard,BCwave_b1n6s-5,1.0,6,-5,128.0,0.0045827539022795
standard,BCwave_b1n6s-5,1.0,6,-5,129.0,0.004727393958537
standard,BCwave_b1n6s-5,1.0,6,-5,130.0,0.0048755817800563
standard,BCwave_b1n6s-5,1.0,6,-5,131.0,0.0050287013219149
standard,BCwave_b1n6s-5,1.0,6,-5,132.0,0.0051896667345157
standard,BCwave_b1n6s-5,1.0,6,-5,133.0,0.0053595142486838
standard,BCwave_b1n6s-5,1.0,6,-5,134.0,0.0055363090766857
standard,BCwave_b1n6s-5,1.0,6,-5,135.0,0.0057175614945707
standard,BCwave_b1n6s-5,1.0,6,-5,136.0,0.0059035178115115
standard,BCwave_b1n6s-5,1.0,6,-5,137.0,0.0060980530043777
standard,BCwave_b1n6s-5,1.0,6,-5,138.0,0.0063010188754223
standard,BCwave_b1n6s-5,1.0,6,-5,139.0,0.0065140568836758
standard,BCwave_b1n6s-5,1.0,6,-5,140.0,0.0067401427828579
standard,BCwave_b1n6s-5,1.0,6,-5,141.0,0.0069723912998398
standard,BCwave_b1n6s-5,1.0,6,-5,142.0,0.0072082745544546
standard,BCwave_b1n6s-5,1.0,6,-5,143.0,0.0074538953313291
standard,BCwave_b1n6s-5,1.0,6,-5,144.0,0.0077077985428114
standard,BCwave_b1n6s-5,1.0,6,-5,145.0,0.0079714912428542
standard,BCwave_b1n6s-5,1.0,6,-5,146.0,0.0082571488115784
standard,BCwave_b1n6s-5,1.0,6,-5,147.0,0.0085582267776389
standard,BCwave_b1n6s-5,1.0,6,-5,148.0,0.0088549162008482
standard,BCwave_b1n6s-5,1.0,6,-5,149.0,0.0091503681944849
standard,BCwave_b1n6s-5,1.0,6,-5,150.0,0.0094688793413531
standard,BCwave_b1n6s-5,1.0,6,-5,151.0,0.0098062504547668
standard,BCwave_b1n6s-5,1.0,6,-5,152.0,0.0101542869231498
standard,BCwave_b1n6s-5,1.0,6,-5,153.0,0.0105173957198271
standard,BCwave_b1n6s-5,1.0,6,-5,154.0,0.010890230183211
standard,BCwave_b1n6s-5,1.0,6,-5,155.0,0.0112719483993948
standard,BCwave_b1n6s-5,1.0,6,-5,156.0,0.0116755475651543
standard,BCwave_b1n6s-5,1.0,6,-5,157.0,0.0121016684958954
standard,BCwave_b1n6s-5,1.0,6,-5,158.0,0.0125364609265071
standard,BCwave_b1n6s-5,1.0,6,-5,159.0,0.0129777932232874
standard,BCwave_b1n6s-5,1.0,6,-5,160.0,0.0134379510022968
standard,BCwave_b1n6s-5,1.0,6,-5,161.0,0.0139229884631557
standard,BCwave_b1n6s-5,1.0,6,-5,162.0,0.0144291597052045
standard,BCwave_b1n6s-5,1.0,6,-5,163.0,0.0149551032725057
standard,BCwave_b1n6s-5,1.0,6,-5,164.0,0.0155029947578737
standard,BCwave_b1n6s-5,1.0,6,-5,165.0,0.0160732295918196
standard,BCwave_b1n6s-5,1.0,6,-5,166.0,0.0166636751762516
standard,BCwave_b1n6s-5,1.0,6,-5,167.0,0.0172755517484287
standard,BCwave_b1n6s-5,1.0,6,-5,168.0,0.0179100879533374
standard,BCwave_b1n6s-5,1.0,6,-5,169.0,0.0185693318532568
standard,BCwave_b1n6s-5,1.0,6,-5,170.0,0.0192568532577255
standard,BCwave_b1n6s-5,1.0,6,-5,171.0,0.0199737673544436
standard,BCwave_b1n6s-5,1.0,6,-5,172.0,0.0207164816878543
standard,BCwave_b1n6s-5,1.0,6,-5,173.0,0.0214841965555988
standard,BCwave_b1n6s-5,1.0,6,-5,174.0,0.0222808650866618
standard,BCwave_b1n6s-5,1.0,6,-5,175.0,0.0231100855915029
standard,BCwave_b1n6s-5,1.0,6,-5,176.0,0.023973171204755
standard,BCwave_b1n6s-5,1.0,6,-5,177.0,0.0248688358497623
standard,BCwave_b1n6s-5,1.0,6,-5,178.0,0.0257997810677319
standard,BCwave_b1n6s-5,1.0,6,-5,179.0,0.0267704211180138
standard,BCwave_b1n6s-5,1.0,6,-5,180.0,0.0277754999130435
standard,BCwave_b1n6s-5,1.0,6,-5,181.0,0.0288154484325535
standard,BCwave_b1n6s-5,1.0,6,-5,182.0,0.0298960549069286
standard,BCwave_b1n6s-5,1.0,6,-5,183.0,0.0310167152938263
standard,BCwave_b1n6s-5,1.0,6,-5,184.0,0.032185152561664
standard,BCwave_b1n6s-5,1.0,6,-5,185.0,0.0334018535481982
standard,BCwave_b1n6s-5,1.0,6,-5,186.0,0.0346603158841836
standard,BCwave_b1n6s-5,1.0,6,-5,187.0,0.0359694951216147
standard,BCwave_b1n6s-5,1.0,6,-5,188.0,0.0373300451836811
standard,BCwave_b1n6s-5,1.0,6,-5,189.0,0.0387343415888956
standard,BCwave_b1n6s-5,1.0,6,-5,190.0,0.0401903405098585
standard,BCwave_b1n6s-5,1.0,6,-5,191.0,0.0417040244068615
standard,BCwave_b1n6s-5,1.0,6,-5,192.0,0.0432741193836893
standard,BCwave_b1n6s-5,1.0,6,-5,193.0,0.0449084316948192
standard,BCwave_b1n6s-5,1.0,6,-5,194.0,0.0466120385395897
standard,BCwave_b1n6s-5,1.0,6,-5,195.0,0.0483811840815069
standard,BCwave_b1n6s-5,1.0,6,-5,196.0,0.0502134601975928
standard,BCwave_b1n6s-5,1.0,6,-5,197.0,0.0521131031588341
standard,BCwave_b1n6s-5,1.0,6,-5,198.0,0.0540835707509257
standard,BCwave_b1n6s-5,1.0,6,-5,199.0,0.0561237239865331
standard,BCwave_b1n6s-5,1.0,6,-5,200.0,0.05823660347547
standard,BCwave_b1n6s-5,1.0,6,-5,201.0,0.0604291553456404
standard,BCwave_b1n6s-5,1.0,6,-5,202.0,0.0627057076793922
standard,BCwave_b1n6s-5,1.0,6,-5,203.0,0.0650673759714378
standard,BCwave_b1n6s-5,1.0,6,-5,204.0,0.0675163570077623
standard,BCwave_b1n6s-5,1.0,6,-5,205.0,0.0700551521909521
standard,BCwave_b1n6s-5,1.0,6,-5,206.0,0.0726878104403231
standard,BCwave_b1n6s-5,1.0,6,-5,207.0,0.0754196048961013
standard,BCwave_b1n6s-5,1.0,6,-5,208.0,0.0782531329253368
standard,BCwave_b1n6s-5,1.0,6,-5,209.0,0.0811888432776006
standard,BCwave_b1n6s-5,1.0,6,-5,210.0,0.0842272111562258
standard,BCwave_b1n6s-5,1.0,6,-5,211.0,0.0873714680861721
standard,BCwave_b1n6s-5,1.0,6,-5,212.0,0.090626872609238
standard,BCwave_b1n6s-5,1.0,6,-5,213.0,0.0939985423849679
standard,BCwave_b1n6s-5,1.0,6,-5,214.0,0.0974896008526117
standard,BCwave_b1n6s-5,1.0,6,-5,215.0,0.1011042642056799
standard,BCwave_b1n6s-5,1.0,6,-5,216.0,0.1048467765795747
standard,BCwave_b1n6s-5,1.0,6,-5,217.0,0.1087219617226872
standard,BCwave_b1n6s-5,1.0,6,-5,218.0,0.1127343230798616
standard,BCwave_b1n6s-5,1.0,6,-5,219.0,0.1168924363468379
standard,BCwave_b1n6s-5,1.0,6,-5,220.0,0.1211962536582203
standard,BCwave_b1n6s-5,1.0,6,-5,221.0,0.1256388522787427
standard,BCwave_b1n6s-5,1.0,6,-5,222.0,0.1302233479467246
standard,BCwave_b1n6s-5,1.0,6,-5,223.0,0.1349581343138635
standard,BCwave_b1n6s-5,1.0,6,-5,224.0,0.1398622199482054
standard,BCwave_b1n6s-5,1.0,6,-5,225.0,0.1449443063162271
standard,BCwave_b1n6s-5,1.0,6,-5,226.0,0.1501920493553684
standard,BCwave_b1n6s-5,1.0,6,-5,227.0,0.155602684827329
standard,BCwave_b1n6s-5,1.0,6,-5,228.0,0.1611855507825009
standard,BCwave_b1n6s-5,1.0,6,-5,229.0,0.1669494186259987
standard,BCwave_b1n6s-5,1.0,6,-5,230.0,0.1729037520266948
standard,BCwave_b1n6s-5,1.0,6,-5,231.0,0.1790563587634892
standard,BCwave_b1n6s-5,1.0,6,-5,232.0,0.1854137817834532
standard,BCwave_b1n6s-5,1.0,6,-5,233.0,0.1919762211139669
standard,BCwave_b1n6s-5,1.0,6,-5,234.0,0.1987409483662355
standard,BCwave_b1n6s-5,1.0,6,-5,235.0,0.2057138370480307
standard,BCwave_b1n6s-5,1.0,6,-5,236.0,0.2129041294449137
standard,BCwave_b1n6s-5,1.0,6,-5,237.0,0.2203101058792985
standard,BCwave_b1n6s-5,1.0,6,-5,238.0,0.2279349736417261
standard,BCwave_b1n6s-5,1.0,6,-5,239.0,0.2357727635825066
standard,BCwave_b1n6s-5,1.0,6,-5,240.0,0.2438300872685653
standard,BCwave_b1n6s-5,1.0,6,-5,241.0,0.2521189854724877
standard,BCwave_b1n6s-5,1.0,6,-5,242.0,0.260637913641988
standard,BCwave_b1n6s-5,1.0,6,-5,243.0,0.2694091926926857
standard,BCwave_b1n6s-5,1.0,6,-5,244.0,0.2784554962967806
standard,BCwave_b1n6s-5,1.0,6,-5,245.0,0.2877647587700548
standard,BCwave_b1n6s-5,1.0,6,-5,246.0,0.2973239518075342
standard,BCwave_b1n6s-5,1.0,6,-5,247.0,0.3071511596497982
standard,BCwave_b1n6s-5,1.0,6,-5,248.0,0.3172299623969611
standard,BCwave_b1n6s-5,1.0,6,-5,249.0,0.327553757252262
standard,BCwave_b1n6s-5,1.0,6,-5,250.0,0.338131333963448
standard,BCwave_b1n6s-5,1.0,6,-5,251.0,0.3489786426153284
standard,BCwave_b1n6s-5,1.0,6,-5,252.0,0.360096654511672
standard,BCwave_b1n6s-5,1.0,6,-5,253.0,0.3714903234940945
standard,BCwave_b1n6s-5,1.0,6,-5,254.0,0.3831740130082136
standard,BCwave_b1n6s-5,1.0,6,-5,255.0,0.3951396542091981
standard,BCwave_b1n6s-5,1.0,6,-5,256.0,0.4074005238559962
standard,BCwave_b1n6s-5,1.0,6,-5,257.0,0.4199569061126867
standard,BCwave_b1n6s-5,1.0,6,-5,258.0,0.4328099328666241
standard,BCwave_b1n6s-5,1.0,6,-5,259.0,0.4459556883422678
standard,BCwave_b1n6s-5,1.0,6,-5,260.0,0.4594170025129699
standard,BCwave_b1n6s-5,1.0,6,-5,261.0,0.4731592648572882
standard,BCwave_b1n6s-5,1.0,6,-5,262.0,0.4872542637354941
standard,BCwave_b1n6s-5,1.0,6,-5,263.0,0.5017058562854875
standard,BCwave_b1n6s-5,1.0,6,-5,264.0,0.5164747162370186
standard,BCwave_b1n6s-5,1.0,6,-5,265.0,0.5315603014815646
standard,BCwave_b1n6s-5,1.0,6,-5,266.0,0.5469765527629009
standard,BCwave_b1n6s-5,1.0,6,-5,267.0,0.562712633405452
standard,BCwave_b1n6s-5,1.0,6,-5,268.0,0.5787735148230269
standard,BCwave_b1n6s-5,1.0,6,-5,269.0,0.5951901884518158
standard,BCwave_b1n6s-5,1.0,6,-5,270.0,0.6119519096908828
standard,BCwave_b1n6s-5,1.0,6,-5,271.0,0.6290376814450915
standard,BCwave_b1n6s-5,1.0,6,-5,272.0,0.6464383947019845
standard,BCwave_b1n6s-5,1.0,6,-5,273.0,0.6641001517802382
standard,BCwave_b1n6s-5,1.0,6,-5,274.0,0.6820372873415137
standard,BCwave_b1n6s-5,1.0,6,-5,275.0,0.700294575961266
standard,BCwave_b1n6s-5,1.0,6,-5,276.0,0.7188856950788086
standard,BCwave_b1n6s-5,1.0,6,-5,277.0,0.7377817880791022
standard,BCwave_b1n6s-5,1.0,6,-5,278.0,0.7570305475660959
standard,BCwave_b1n6s-5,1.0,6,-5,279.0,0.7766422118948363
standard,BCwave_b1n6s-5,1.0,6,-5,280.0,0.7966597474749934
standard,BCwave_b1n6s-5,1.0,6,-5,281.0,0.8170069265106875
standard,BCwave_b1n6s-5,1.0,6,-5,282.0,0.837613576916554
standard,BCwave_b1n6s-5,1.0,6,-5,283.0,0.8585222991041244
standard,BCwave_b1n6s-5,1.0,6,-5,284.0,0.8797416197404424
standard,BCwave_b1n6s-5,1.0,6,-5,285.0,0.9012641242363382
standard,BCwave_b1n6s-5,1.0,6,-5,286.0,0.9231606493155834
standard,BCwave_b1n6s-5,1.0,6,-5,287.0,0.9454409186460038
standard,BCwave_b1n6s-5,1.0,6,-5,288.0,0.968070789853806
standard,BCwave_b1n6s-5,1.0,6,-5,289.0,0.9910666710346936
standard,BCwave_b1n6s-5,1.0,6,-5,290.0,1.014462581182834
standard,BCwave_b1n6s-5,1.0,6,-5,291.0,1.038267061214395
standard,BCwave_b1n6s-5,1.0,6,-5,292.0,1.0623908836388714
standard,BCwave_b1n6s-5,1.0,6,-5,293.0,1.086623016960882
standard,BCwave_b1n6s-5,1.0,6,-5,294.0,1.111080844695438
standard,BCwave_b1n6s-5,1.0,6,-5,295.0,1.135908159335834
standard,BCwave_b1n6s-5,1.0,6,-5,296.0,1.1610875609117106
standard,BCwave_b1n6s-5,1.0,6,-5,297.0,1.186703868340634
standard,BCwave_b1n6s-5,1.0,6,-5,298.0,1.2126503573808205
standard,BCwave_b1n6s-5,1.0,6,-5,299.0,1.2389015714885394
standard,BCwave_b1n6s-5,1.0,6,-5,300.0,1.265452607557675
standard,BCwave_b1n6s-5,1.0,6,-5,301.0,1.2923630245249085
standard,BCwave_b1n6s-5,1.0,6,-5,302.0,1.3197423312378644
standard,BCwave_b1n6s-5,1.0,6,-5,303.0,1.347405532291023
standard,BCwave_b1n6s-5,1.0,6,-5,304.0,1.3752725777725845
standard,BCwave_b1n6s-5,1.0,6,-5,305.0,1.4032577703280835
standard,BCwave_b1n6s-5,1.0,6,-5,306.0,1.4314843292926442
standard,BCwave_b1n6s-5,1.0,6,-5,307.0,1.4600996103584454
standard,BCwave_b1n6s-5,1.0,6,-5,308.0,1.4891407851944405
standard,BCwave_b1n6s-5,1.0,6,-5,309.0,1.518592109384514
standard,BCwave_b1n6s-5,1.0,6,-5,310.0,1.5481905944900756
standard,BCwave_b1n6s-5,1.0,6,-5,311.0,1.5778856553304113
standard,BCwave_b1n6s-5,1.0,6,-5,312.0,1.6078317802084048
standard,BCwave_b1n6s-5,1.0,6,-5,313.0,1.6379967663050532
standard,BCwave_b1n6s-5,1.0,6,-5,314.0,1.6684659191508049
standard,BCwave_b1n6s-5,1.0,6,-5,315.0,1.6991122515783852
standard,BCwave_b1n6s-5,1.0,6,-5,316.0,1.729984841081488
standard,BCwave_b1n6s-5,1.0,6,-5,317.0,1.7610270250653723
standard,BCwave_b1n6s-5,1.0,6,-5,318.0,1.7921105977281295
standard,BCwave_b1n6s-5,1.0,6,-5,319.0,1.823196464534204
standard,BCwave_b1n6s-5,1.0,6,-5,320.0,1.8543973583459372
standard,BCwave_b1n6s-5,1.0,6,-5,321.0,1.885736475692315
standard,BCwave_b1n6s-5,1.0,6,-5,322.0,1.9173363371655028
standard,BCwave_b1n6s-5,1.0,6,-5,323.0,1.9489998598875489
standard,BCwave_b1n6s-5,1.0,6,-5,324.0,1.9805935826671963
standard,BCwave_b1n6s-5,1.0,6,-5,325.0,2.012082952785046
standard,BCwave_b1n6s-5,1.0,6,-5,326.0,2.043586390153306
standard,BCwave_b1n6s-5,1.0,6,-5,327.0,2.0752312745747457
standard,BCwave_b1n6s-5,1.0,6,-5,328.0,2.106798773023381
standard,BCwave_b1n6s-5,1.0,6,-5,329.0,2.138365215529672
standard,BCwave_b1n6s-5,1.0,6,-5,330.0,2.170032738620126
standard,BCwave_b1n6s-5,1.0,6,-5,331.0,2.2015848413943724
standard,BCwave_b1n6s-5,1.0,6,-5,332.0,2.2329816954731907
standard,BCwave_b1n6s-5,1.0,6,-5,333.0,2.264503570698305
standard,BCwave_b1n6s-5,1.0,6,-5,334.0,2.2960029959226107
standard,BCwave_b1n6s-5,1.0,6,-5,335.0,2.327290304895552
standard,BCwave_b1n6s-5,1.0,6,-5,336.0,2.3585518630560407
standard,BCwave_b1n6s-5,1.0,6,-5,337.0,2.3898624605148866
standard,BCwave_b1n6s-5,1.0,6,-5,338.0,2.4210728811091453
standard,BCwave_b1n6s-5,1.0,6,-5,339.0,2.452012606560654
standard,BCwave_b1n6s-5,1.0,6,-5,340.0,2.48295338748028
standard,BCwave_b1n6s-5,1.0,6,-5,341.0,2.513800227661756
standard,BCwave_b1n6s-5,1.0,6,-5,342.0,2.544163950651237
standard,BCwave_b1n6s-5,1.0,6,-5,343.0,2.5742331032723533
standard,BCwave_b1n6s-5,1.0,6,-5,344.0,2.604121590975755
standard,BCwave_b1n6s-5,1.0,6,-5,345.0,2.6340803222604428
standard,BCwave_b1n6s-5,1.0,6,-5,346.0,2.6639430935688253
standard,BCwave_b1n6s-5,1.0,6,-5,347.0,2.693572314988252
standard,BCwave_b1n6s-5,1.0,6,-5,348.0,2.7230288474237336
standard,BCwave_b1n6s-5,1.0,6,-5,349.0,2.7525263063697905
standard,BCwave_b1n6s-5,1.0,6,-5,350.0,2.781850390428012
standard,BCwave_b1n6s-5,1.0,6,-5,351.0,2.810898298610736
standard,BCwave_b1n6s-5,1.0,6,-5,352.0,2.8395140862644026
standard,BCwave_b1n6s-5,1.0,6,-5,353.0,2.8680988425520204
standard,BCwave_b1n6s-5,1.0,6,-5,354.0,2.8967271366390244
standard,BCwave_b1n6s-5,1.0,6,-5,355.0,2.925033711726672
standard,BCwave_b1n6s-5,1.0,6,-5,356.0,2.9530787188077494
standard,BCwave_b1n6s-5,1.0,6,-5,357.0,2.9810686567150397
standard,BCwave_b1n6s-5,1.0,6,-5,358.0,3.0090175611869205
standard,BCwave_b1n6s-5,1.0,6,-5,359.0,3.036833531323975
standard,BCwave_b1n6s-5,1.0,6,-5,360.0,3.064498271230373
standard,BCwave_b1n6,1.0,6,0,1.0,0.0014514540563693
standard,BCwave_b1n6,1.0,6,0,2.0,0.0013299618087423
standard,BCwave_b1n6,1.0,6,0,3.0,0.0011965550974518
standard,BCwave_b1n6,1.0,6,0,4.0,0.0011321262879112
standard,BCwave_b1n6,1.0,6,0,5.0,0.0010956137202116
standard,BCwave_b1n6,1.0,6,0,6.0,0.0010647314227733
standard,BCwave_b1n6,1.0,6,0,7.0,0.0010372901555906
standard,BCwave_b1n6,1.0,6,0,8.0,0.001012098553872
standard,BCwave_b1n6,1.0,6,0,9.0,0.0009821431842601
standard,BCwave_b1n6,1.0,6,0,10.0,0.0009591768077896
standard,BCwave_b1n6,1.0,6,0,11.0,0.0009388670890241
standard,BCwave_b1n6,1.0,6,0,12.0,0.0009293309526683
standard,BCwave_b1n6,1.0,6,0,13.0,0.0009270813239797
standard,BCwave_b1n6,1.0,6,0,14.0,0.0009256747150858
standard,BCwave_b1n6,1.0,6,0,15.0,0.0009246889028176
standard,BCwave_b1n6,1.0,6,0,16.0,0.0009248890059088
standard,BCwave_b1n6,1.0,6,0,17.0,0.0009244503985576
standard,BCwave_b1n6,1.0,6,0,18.0,0.0009253262577551
standard,BCwave_b1n6,1.0,6,0,19.0,0.0009270029644118
standard,BCwave_b1n6,1.0,6,0,20.0,0.0009290054338403
standard,BCwave_b1n6,1.0,6,0,21.0,0.000933298162669
standard,BCwave_b1n6,1.0,6,0,22.0,0.000939317705747
standard,BCwave_b1n6,1.0,6,0,23.0,0.0009474984123825
standard,BCwave_b1n6,1.0,6,0,24.0,0.0009589822319837
standard,BCwave_b1n6,1.0,6,0,25.0,0.0009785817038865
standard,BCwave_b1n6,1.0,6,0,26.0,0.0010017035029455
standard,BCwave_b1n6,1.0,6,0,27.0,0.0010260797177654
standard,BCwave_b1n6,1.0,6,0,28.0,0.0010457702812564
standard,BCwave_b1n6,1.0,6,0,29.0,0.0010657242101471
standard,BCwave_b1n6,1.0,6,0,30.0,0.0010823982569191
standard,BCwave_b1n6,1.0,6,0,31.0,0.0010925993182856
standard,BCwave_b1n6,1.0,6,0,32.0,0.0011026946953754
standard,BCwave_b1n6,1.0,6,0,33.0,0.0011094663956002
standard,BCwave_b1n6,1.0,6,0,34.0,0.0011081266326558
standard,BCwave_b1n6,1.0,6,0,35.0,0.0011288405089338
standard,BCwave_b1n6,1.0,6,0,36.0,0.0010487456635415
standard,BCwave_b1n6,1.0,6,0,37.0,0.0012274391767749
standard,BCwave_b1n6,1.0,6,0,38.0,0.0011437451187171
standard,BCwave_b1n6,1.0,6,0,39.0,0.0010991927520711
standard,BCwave_b1n6,1.0,6,0,40.0,0.0010883984243605
standard,BCwave_b1n6,1.0,6,0,41.0,0.0010850990884202
standard,BCwave_b1n6,1.0,6,0,42.0,0.0010868372882275
standard,BCwave_b1n6,1.0,6,0,43.0,0.0010950524363228
standard,BCwave_b1n6,1.0,6,0,44.0,0.0011072904826206
standard,BCwave_b1n6,1.0,6,0,45.0,0.0011177864771494
standard,BCwave_b1n6,1.0,6,0,46.0,0.0011211607177314
standard,BCwave_b1n6,1.0,6,0,47.0,0.0011246276389766
standard,BCwave_b1n6,1.0,6,0,48.0,0.0011304669443548
standard,BCwave_b1n6,1.0,6,0,49.0,0.0011377219535174
standard,BCwave_b1n6,1.0,6,0,50.0,0.001145940667443
standard,BCwave_b1n6,1.0,6,0,51.0,0.0011579115767327
standard,BCwave_b1n6,1.0,6,0,52.0,0.001172847183587
standard,BCwave_b1n6,1.0,6,0,53.0,0.0011869895688747
standard,BCwave_b1n6,1.0,6,0,54.0,0.0011992817902437
standard,BCwave_b1n6,1.0,6,0,55.0,0.0012116218287072
standard,BCwave_b1n6,1.0,6,0,56.0,0.0012229092158007
standard,BCwave_b1n6,1.0,6,0,57.0,0.0012333281020578
standard,BCwave_b1n6,1.0,6,0,58.0,0.0012478010013279
standard,BCwave_b1n6,1.0,6,0,59.0,0.0012655055088206
standard,BCwave_b1n6,1.0,6,0,60.0,0.0012838630254609
standard,BCwave_b1n6,1.0,6,0,61.0,0.0013051802619528
standard,BCwave_b1n6,1.0,6,0,62.0,0.001332098341895
standard,BCwave_b1n6,1.0,6,0,63.0,0.0013615559234788
standard,BCwave_b1n6,1.0,6,0,64.0,0.0013897376195181
standard,BCwave_b1n6,1.0,6,0,65.0,0.0014118066670488
standard,BCwave_b1n6,1.0,6,0,66.0,0.0014337174154469
standard,BCwave_b1n6,1.0,6,0,67.0,0.0014549721350467
standard,BCwave_b1n6,1.0,6,0,68.0,0.0014682362287503
standard,BCwave_b1n6,1.0,6,0,69.0,0.0014801758600702
standard,BCwave_b1n6,1.0,6,0,70.0,0.0015133248588733
standard,BCwave_b1n6,1.0,6,0,71.0,0.0015205867717806
standard,BCwave_b1n6,1.0,6,0,72.0,0.0015311885441775
standard,BCwave_b1n6,1.0,6,0,73.0,0.0015550880093151
standard,BCwave_b1n6,1.0,6,0,74.0,0.0016286825894875
standard,BCwave_b1n6,1.0,6,0,75.0,0.0016351244210178
standard,BCwave_b1n6,1.0,6,0,76.0,0.0016491950657914
standard,BCwave_b1n6,1.0,6,0,77.0,0.0016868092273684
standard,BCwave_b1n6,1.0,6,0,78.0,0.0017285673943385
standard,BCwave_b1n6,1.0,6,0,79.0,0.0017648609559935
standard,BCwave_b1n6,1.0,6,0,80.0,0.0017920922230419
standard,BCwave_b1n6,1.0,6,0,81.0,0.0018144163450882
standard,BCwave_b1n6,1.0,6,0,82.0,0.0018414171008421
standard,BCwave_b1n6,1.0,6,0,83.0,0.0018756073063127
standard,BCwave_b1n6,1.0,6,0,84.0,0.0019130083166205
standard,BCwave_b1n6,1.0,6,0,85.0,0.0019528098775748
standard,BCwave_b1n6,1.0,6,0,86.0,0.0019995493989598
standard,BCwave_b1n6,1.0,6,0,87.0,0.0020521672021512
standard,BCwave_b1n6,1.0,6,0,88.0,0.0021055897524996
standard,BCwave_b1n6,1.0,6,0,89.0,0.0021575589781835
standard,BCwave_b1n6,1.0,6,0,90.0,0.0022103150060724
standard,BCwave_b1n6,1.0,6,0,91.0,0.002265358285335
standard,BCwave_b1n6,1.0,6,0,92.0,0.0023234617799779
standard,BCwave_b1n6,1.0,6,0,93.0,0.0023838034219451
standard,BCwave_b1n6,1.0,6,0,94.0,0.0024391965010434
standard,BCwave_b1n6,1.0,6,0,95.0,0.0024935903148159
standard,BCwave_b1n6,1.0,6,0,96.0,0.0025552450501387
standard,BCwave_b1n6,1.0,6,0,97.0,0.0026207775616616
standard,BCwave_b1n6,1.0,6,0,98.0,0.0026893616819159
standard,BCwave_b1n6,1.0,6,0,99.0,0.0027634270310408
standard,BCwave_b1n6,1.0,6,0,100.0,0.0028413793011151
standard,BCwave_b1n6,1.0,6,0,101.0,0.002920342197316
standard,BCwave_b1n6,1.0,6,0,102.0,0.0029985360683989
standard,BCwave_b1n6,1.0,6,0,103.0,0.0030813402473983
standard,BCwave_b1n6,1.0,6,0,104.0,0.0031669195241819
standard,BCwave_b1n6,1.0,6,0,105.0,0.0032512387050505
standard,BCwave_b1n6,1.0,6,0,106.0,0.0033514365159382
standard,BCwave_b1n6,1.0,6,0,107.0,0.0034635764281698
standard,BCwave_b1n6,1.0,6,0,108.0,0.0035646392036429
standard,BCwave_b1n6,1.0,6,0,109.0,0.003667498971178
standard,BCwave_b1n6,1.0,6,0,110.0,0.0037782962098408
standard,BCwave_b1n6,1.0,6,0,111.0,0.0038967706550244
standard,BCwave_b1n6,1.0,6,0,112.0,0.0040082100277566
standard,BCwave_b1n6,1.0,6,0,113.0,0.0041324159863944
standard,BCwave_b1n6,1.0,6,0,114.0,0.004267329519999
standard,BCwave_b1n6,1.0,6,0,115.0,0.0044141628052088
standard,BCwave_b1n6,1.0,6,0,116.0,0.0045745119903986
standard,BCwave_b1n6,1.0,6,0,117.0,0.0047279563217036
standard,BCwave_b1n6,1.0,6,0,118.0,0.0048692448966591
standard,BCwave_b1n6,1.0,6,0,119.0,0.0050187872445537
