ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,73.0,0.0011361898751377
standard,BCwave_b1n1s-10,1.0,1,-10,74.0,0.0011791889109011
standard,BCwave_b1n1s-10,1.0,1,-10,75.0,0.0011730904912367
standard,BCwave_b1n1s-10,1.0,1,-10,76.0,0.0011822019364473
standard,BCwave_b1n1s-10,1.0,1,-10,77.0,0.0012293641304313
standard,BCwave_b1n1s-10,1.0,1,-10,78.0,0.0012721021055615
standard,BCwave_b1n1s-10,1.0,1,-10,79.0,0.0012900685795839
standard,BCwave_b1n1s-10,1.0,1,-10,80.0,0.0012944453239605
standard,BCwave_b1n1s-10,1.0,1,-10,81.0,0.0012994170425224
standard,BCwave_b1n1s-10,1.0,1,-10,82.0,0.0013132964805815
standard,BCwave_b1n1s-10,1.0,1,-10,83.0,0.0013371472067736
standard,BCwave_b1n1s-10,1.0,1,-10,84.0,0.0013665549711495
standard,BCwave_b1n1s-10,1.0,1,-10,85.0,0.0013983608707397
standard,BCwave_b1n1s-10,1.0,1,-10,86.0,0.0014350580487646
standard,BCwave_b1n1s-10,1.0,1,-10,87.0,0.001474748577695
standard,BCwave_b1n1s-10,1.0,1,-10,88.0,0.00151146352842
standard,BCwave_b1n1s-10,1.0,1,-10,89.0,0.0015448986824387
standard,BCwave_b1n1s-10,1.0,1,-10,90.0,0.0015766447743992
standard,BCwave_b1n1s-10,1.0,1,-10,91.0,0.0016100750842207
standard,BCwave_b1n1s-10,1.0,1,-10,92.0,0.0016493437339638
standard,BCwave_b1n1s-10,1.0,1,-10,93.0,0.0016912380663035
standard,BCwave_b1n1s-10,1.0,1,-10,94.0,0.0017289349726292
standard,BCwave_b1n1s-10,1.0,1,-10,95.0,0.0017658644282274
standard,BCwave_b1n1s-10,1.0,1,-10,96.0,0.0018072029571743
standard,BCwave_b1n1s-10,1.0,1,-10,97.0,0.0018492485266002
standard,BCwave_b1n1s-10,1.0,1,-10,98.0,0.0018943896286058
standard,BCwave_b1n1s-10,1.0,1,-10,99.0,0.0019475689358217
standard,BCwave_b1n1s-10,1.0,1,-10,100.0,0.0020026864593861
standard,BCwave_b1n1s-10,1.0,1,-10,101.0,0.0020499702232556
standard,BCwave_b1n1s-10,1.0,1,-10,102.0,0.0020949300739499
standard,BCwave_b1n1s-10,1.0,1,-10,103.0,0.0021529323505029
standard,BCwave_b1n1s-10,1.0,1,-10,104.0,0.0022208477082798
standard,BCwave_b1n1s-10,1.0,1,-10,105.0,0.0022778396809145
standard,BCwave_b1n1s-10,1.0,1,-10,106.0,0.0023316761549241
standard,BCwave_b1n1s-10,1.0,1,-10,107.0,0.0024107332308793
standard,BCwave_b1n1s-10,1.0,1,-10,108.0,0.0024899198005477
standard,BCwave_b1n1s-10,1.0,1,-10,109.0,0.0025677235968696
standard,BCwave_b1n1s-10,1.0,1,-10,110.0,0.0026376456019603
standard,BCwave_b1n1s-10,1.0,1,-10,111.0,0.0027072347872383
standard,BCwave_b1n1s-10,1.0,1,-10,112.0,0.0027781727790003
standard,BCwave_b1n1s-10,1.0,1,-10,113.0,0.0028619326996593
standard,BCwave_b1n1s-10,1.0,1,-10,114.0,0.0029611822901347
standard,BCwave_b1n1s-10,1.0,1,-10,115.0,0.0030656025450748
standard,BCwave_b1n1s-10,1.0,1,-10,116.0,0.0031688618637942
standard,BCwave_b1n1s-10,1.0,1,-10,117.0,0.0032663819959059
standard,BCwave_b1n1s-10,1.0,1,-10,118.0,0.0033609863718333
standard,BCwave_b1n1s-10,1.0,1,-10,119.0,0.0034639558511668
standard,BCwave_b1n1s-10,1.0,1,-10,120.0,0.0035785601684887
standard,BCwave_b1n1s-10,1.0,1,-10,121.0,0.0036983751175863
standard,BCwave_b1n1s-10,1.0,1,-10,122.0,0.003819777016111
standard,BCwave_b1n1s-10,1.0,1,-10,123.0,0.0039459873113984
standard,BCwave_b1n1s-10,1.0,1,-10,124.0,0.0040788163422292
standard,BCwave_b1n1s-10,1.0,1,-10,125.0,0.0042142678046896
standard,BCwave_b1n1s-10,1.0,1,-10,126.0,0.004352028766687
standard,BCwave_b1n1s-10,1.0,1,-10,127.0,0.0044959570643043
standard,BCwave_b1n1s-10,1.0,1,-10,128.0,0.0046485685123873
standard,BCwave_b1n1s-10,1.0,1,-10,129.0,0.0048107698060245
standard,BCwave_b1n1s-10,1.0,1,-10,130.0,0.0049804180987241
standard,BCwave_b1n1s-10,1.0,1,-10,131.0,0.0051547256428292
standard,BCwave_b1n1s-10,1.0,1,-10,132.0,0.0053345082472885
standard,BCwave_b1n1s-10,1.0,1,-10,133.0,0.0055221963215504
standard,BCwave_b1n1s-10,1.0,1,-10,134.0,0.0057157679560322
standard,BCwave_b1n1s-10,1.0,1,-10,135.0,0.0059133757301446
standard,BCwave_b1n1s-10,1.0,1,-10,136.0,0.0061209382456004
standard,BCwave_b1n1s-10,1.0,1,-10,137.0,0.0063419678861349
standard,BCwave_b1n1s-10,1.0,1,-10,138.0,0.0065718296026605
standard,BCwave_b1n1s-10,1.0,1,-10,139.0,0.0068129268885474
standard,BCwave_b1n1s-10,1.0,1,-10,140.0,0.007072726816895
standard,BCwave_b1n1s-10,1.0,1,-10,141.0,0.0073401418774682
standard,BCwave_b1n1s-10,1.0,1,-10,142.0,0.0076034352915691
standard,BCwave_b1n1s-10,1.0,1,-10,143.0,0.0078765497314413
standard,BCwave_b1n1s-10,1.0,1,-10,144.0,0.0081682628853723
