ensemble,b,mean_vT_K_m_s_1,min_vT,max_vT,mean_profile_vT_850_1000_K_m_s_1
standard,1.0,6.574136214401951,1.5301418569352891,14.868551123375989,5.980969561089049
standard,1.5,13.507519489068875,2.8601319217681884,26.721668349372017,12.574728695750265
standard,2.0,19.104335815345888,3.966669588088989,35.58823585510254,17.902210111752645
u30,1.0,48.29054912177801,10.344633448123933,130.49097684534584,50.318936397573005
u30,1.5,30.153997962372,10.18037139801752,51.17950439453125,29.90888320994435
u30,2.0,19.043975772496385,3.951504974365234,35.55593204498291,17.848834877710633
