ensemble,predictor,predictor_label,response,response_label,n,spearman_rho,p_value
constant_Umax_30_ms,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,post_onset_awb_fraction,Post-onset AWB fraction,45,0.5021400391660089,0.0004403827685876794
constant_Umax_30_ms,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.5666389709561325,4.9541722780303204e-05
constant_Umax_30_ms,rossby_penetration_theory_km,Rossby penetration H_R = fL/N,anticyclone_overlap_duration_hours,Maximum anticyclone- overlap duration,45,0.1578149764886578,0.30049607476117945
constant_Umax_30_ms,positive_shear_layer_depth_hpa,Positive-shear- layer depth,peak_eke_m2s-2,Peak 300-hPa EKE,45,-0.5972598827888348,1.4829910344285282e-05
constant_Umax_30_ms,positive_shear_layer_depth_hpa,Positive-shear- layer depth,post_onset_awb_fraction,Post-onset AWB fraction,45,0.46152449869256307,0.0014172186476753186
constant_Umax_30_ms,positive_shear_layer_depth_hpa,Positive-shear- layer depth,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,-0.5322812552274304,0.00016757757385154422
constant_Umax_30_ms,positive_shear_layer_depth_hpa,Positive-shear- layer depth,anticyclone_overlap_duration_hours,Maximum anticyclone- overlap duration,45,-0.5020401737487251,0.0004417299404105994
constant_Umax_30_ms,initial_flank_shear_s-1,Initial flank shear,peak_eke_m2s-2,Peak 300-hPa EKE,45,-0.6501976284584979,1.338164760476059e-06
constant_Umax_30_ms,initial_flank_shear_s-1,Initial flank shear,post_onset_awb_fraction,Post-onset AWB fraction,45,0.044490888167338996,0.7716639166514607
constant_Umax_30_ms,initial_flank_shear_s-1,Initial flank shear,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,-0.5968561818970747,1.5079806016102919e-05
constant_Umax_30_ms,initial_flank_shear_s-1,Initial flank shear,anticyclone_overlap_duration_hours,Maximum anticyclone- overlap duration,45,-0.2443331661043604,0.10576262121654163
constant_Umax_30_ms,barotropic_conversion_positive_ms-2,Positive BT conversion,peak_eke_m2s-2,Peak 300-hPa EKE,45,0.8752305665349142,3.755422432870512e-15
constant_Umax_30_ms,barotropic_conversion_positive_ms-2,Positive BT conversion,post_onset_awb_fraction,Post-onset AWB fraction,45,0.26060854583177434,0.08380219151026827
constant_Umax_30_ms,barotropic_conversion_positive_ms-2,Positive BT conversion,eddy_minus10_coalescence_count,−10-hPa eddy-SLP coalescence count,45,0.8673532324692806,1.2903531599818277e-14
constant_Umax_30_ms,barotropic_conversion_positive_ms-2,Positive BT conversion,anticyclone_overlap_duration_hours,Maximum anticyclone- overlap duration,45,0.5909330727141057,1.9220080789471652e-05
