response_label,Initial Umax,Initial flank shear,Low-level Eady growth,Positive BT conversion,Positive-shear- layer depth,Rossby penetration H_R = fL/N
Maximum anticyclone- overlap duration,0.6364385860921246,0.3173295839322336,0.8680924775815954,0.8531321835935128,0.4884953658609651,0.5632188212429633
Peak 300-hPa EKE,0.9346508563899866,0.5479578392621871,0.8694334650856388,0.9687747035573122,0.8298768897697495,0.48616600790513825
Post-onset AWB fraction,0.39055040572845545,0.13422800352220704,0.7461408625169462,0.7250587241106337,0.24700016934686508,0.48686089413139494
−10-hPa eddy-SLP coalescence count,0.6328308774698621,0.16129378437506453,0.7578420854019946,0.8101517397849436,0.4382562439779144,0.7070328383155577
