response_label,Initial Umax,Initial flank shear,Low-level Eady growth,Positive BT conversion,Positive-shear- layer depth,Rossby penetration H_R = fL/N
Maximum anticyclone- overlap duration,0.2310226753942523,-0.2443331661043604,0.7038086696765569,0.5909330727141057,-0.5020401737487251,0.1578149764886578
Peak 300-hPa EKE,0.6735177865612647,-0.6501976284584979,0.7371541501976284,0.8752305665349142,-0.5972598827888348,0.5815546772068511
Post-onset AWB fraction,0.19597335747472563,0.044490888167338996,-0.04996053258971051,0.26060854583177434,0.46152449869256307,0.5021400391660089
−10-hPa eddy-SLP coalescence count,0.6246878235532056,-0.5968561818970747,0.7825329912315482,0.8673532324692806,-0.5322812552274304,0.5666389709561325
