ensemble,case,b,n,s,pressure_hpa,initial_zonal_wind_at_jet_core_m_s-1,initial_eady_growth_rate_day-1,initial_jet_core_latitude_deg
standard,BCwave_b1n1s5,1.0,1,5,700.0,11.012911126348708,0.5326795217397713,49.5
standard,BCwave_b1n1s5,1.0,1,5,850.0,5.5567928115526835,0.8192257939973363,49.5
standard,BCwave_b1n1s5,1.0,1,5,925.0,2.7305947972668543,0.9400900966846802,49.5
standard,BCwave_b1n1s5,1.0,1,5,975.0,0.9053065960605939,0.9887501149763614,49.5
standard,BCwave_b1n1s5,1.0,1,5,1000.0,0.022016392102477925,0.9994787957483409,49.5
standard,BCwave_b1n1s10,1.0,1,10,10.0,0.019027949318761887,0.0068793720213413305,54.5
standard,BCwave_b1n1s10,1.0,1,10,50.0,0.03136620174498401,0.0077636260571233105,54.5
standard,BCwave_b1n1s10,1.0,1,10,100.0,0.4105069521400664,0.06117973226359172,54.5
standard,BCwave_b1n1s10,1.0,1,10,150.0,1.81727854013443,0.21787733102222792,54.5
standard,BCwave_b1n1s10,1.0,1,10,200.0,4.233508488867018,0.4074206563792525,54.5
standard,BCwave_b1n1s10,1.0,1,10,250.0,7.124854290485382,0.4911411030849734,54.5
standard,BCwave_b1n1s10,1.0,1,10,300.0,9.925867001215616,0.4549289023278407,54.5
standard,BCwave_b1n1s10,1.0,1,10,400.0,13.908097987704807,0.23045967403461448,54.5
standard,BCwave_b1n1s10,1.0,1,10,500.0,15.054919584592183,0.03431136823588493,54.5
standard,BCwave_b1n1s10,1.0,1,10,600.0,13.806067633628846,0.2988720935913464,54.5
standard,BCwave_b1n1s10,1.0,1,10,700.0,11.013919364081488,0.5385622770190736,54.5
standard,BCwave_b1n1s10,1.0,1,10,850.0,5.558259640799628,0.8552298953100042,54.5
standard,BCwave_b1n1s10,1.0,1,10,925.0,2.732211943467458,1.0041392016802508,54.5
standard,BCwave_b1n1s10,1.0,1,10,975.0,0.9070138325293858,1.0758296996164094,54.5
standard,BCwave_b1n1s10,1.0,1,10,1000.0,0.024004896070443413,1.0981479440409614,54.5
standard,BCwave_b1n3s-10,1.0,3,-10,10.0,0.015506383830446188,0.004770199629534722,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,50.0,0.02776468280288908,0.005354005643321969,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,100.0,0.4049370367493894,0.04127094190300729,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,150.0,1.8078558799293307,0.13787314815121926,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,200.0,4.220258845223321,0.2518357624069948,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,250.0,7.108683537112342,0.3236828834385954,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,300.0,9.907719747225444,0.3317265844699085,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,400.0,13.88756647904714,0.19767346786622025,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,500.0,15.032274397214254,0.031789856622800795,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,600.0,13.78263058397505,0.27378508239905425,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,700.0,10.992793371942309,0.46330125249847437,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,850.0,5.544717307885488,0.640573809930961,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,925.0,2.7230609463320836,0.6966396935158434,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,975.0,0.9007449133528603,0.7090642948578383,34.5
standard,BCwave_b1n3s-10,1.0,3,-10,1000.0,0.018460929108156658,0.7061802808649207,34.5
standard,BCwave_b1n3s-5,1.0,3,-5,10.0,0.015985086539545692,0.00536127108798657,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,50.0,0.02826226271798886,0.006022686000115401,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,100.0,0.4058520690434509,0.046571394422890246,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,150.0,1.809388142824173,0.15699064856576736,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,200.0,4.222178252538045,0.28761922477422974,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,250.0,7.110659754276275,0.366437417815652,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,300.0,9.909568595886231,0.3696683263282888,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,400.0,13.889170625474717,0.21356863796153022,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,500.0,15.034157819218105,0.033776057621003226,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,600.0,13.784958902994791,0.29228739495361833,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,700.0,10.995161570443047,0.5028708248665649,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,850.0,5.546441104676989,0.7148424898707864,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,925.0,2.724342077308231,0.7855693374894406,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,975.0,0.901722976565361,0.8037373612812585,39.5
standard,BCwave_b1n3s-5,1.0,3,-5,1000.0,0.019432072071938616,0.8023044441171018,39.5
standard,BCwave_b1n3,1.0,3,0,10.0,0.016552059693963707,0.005912501332420625,44.5
standard,BCwave_b1n3,1.0,3,0,50.0,0.028743307989457713,0.006646157586415618,44.5
standard,BCwave_b1n3,1.0,3,0,100.0,0.40665706677569285,0.051589229961114584,44.5
standard,BCwave_b1n3,1.0,3,0,150.0,1.8106723103258344,0.17575258267153004,44.5
standard,BCwave_b1n3,1.0,3,0,200.0,4.223650175995297,0.3231683417269398,44.5
standard,BCwave_b1n3,1.0,3,0,250.0,7.111938256687588,0.4074785064904776,44.5
standard,BCwave_b1n3,1.0,3,0,300.0,9.91044041050805,0.4038383341521997,44.5
standard,BCwave_b1n3,1.0,3,0,400.0,13.889365686310661,0.22599299760842706,44.5
standard,BCwave_b1n3,1.0,3,0,500.0,15.034551525115967,0.035163754688771864,44.5
standard,BCwave_b1n3,1.0,3,0,600.0,13.7859518872367,0.3054524917814027,44.5
standard,BCwave_b1n3,1.0,3,0,700.0,10.99649596479204,0.5334157726849365,44.5
standard,BCwave_b1n3,1.0,3,0,850.0,5.547657076517741,0.780214580582822,44.5
standard,BCwave_b1n3,1.0,3,0,925.0,2.7253394570615557,0.8683843233306151,44.5
standard,BCwave_b1n3,1.0,3,0,975.0,0.9025730654597283,0.8944384281216569,44.5
standard,BCwave_b1n3,1.0,3,0,1000.0,0.020334452831986097,0.8953373278475765,44.5
standard,BCwave_b1n3s5,1.0,3,5,10.0,0.01772426655983913,0.0064188375211247815,49.5
standard,BCwave_b1n3s5,1.0,3,5,50.0,0.02996995603445814,0.0072236481405514395,49.5
standard,BCwave_b1n3s5,1.0,3,5,100.0,0.40831822885407343,0.056288111253013154,49.5
standard,BCwave_b1n3s5,1.0,3,5,150.0,1.8128852006461886,0.19401891882615271,49.5
standard,BCwave_b1n3s5,1.0,3,5,200.0,4.226060110992855,0.35826593413102276,49.5
standard,BCwave_b1n3s5,1.0,3,5,250.0,7.114167556497786,0.44647675038091683,49.5
standard,BCwave_b1n3s5,1.0,3,5,300.0,9.912292128139072,0.4341440691328556,49.5
standard,BCwave_b1n3s5,1.0,3,5,400.0,13.890563668145074,0.23548037526358323,49.5
standard,BCwave_b1n3s5,1.0,3,5,500.0,15.035905456542968,0.0360888908059328,49.5
standard,BCwave_b1n3s5,1.0,3,5,600.0,13.787908546129863,0.3142532530611183,49.5
standard,BCwave_b1n3s5,1.0,3,5,700.0,10.99875029987759,0.555565964163413,49.5
standard,BCwave_b1n3s5,1.0,3,5,850.0,5.549725080860986,0.8351557699571166,49.5
standard,BCwave_b1n3s5,1.0,3,5,925.0,2.7271905991766188,0.943271044428121,49.5
standard,BCwave_b1n3s5,1.0,3,5,975.0,0.9042849803964297,0.9800627627958354,49.5
standard,BCwave_b1n3s5,1.0,3,5,1000.0,0.022151033465950654,0.9846961580247073,49.5
standard,BCwave_b1n3s10,1.0,3,10,10.0,0.019229526523961087,0.00687450043297411,54.5
standard,BCwave_b1n3s10,1.0,3,10,50.0,0.031496827267498397,0.007744784465309514,54.5
standard,BCwave_b1n3s10,1.0,3,10,100.0,0.41011589442690216,0.060602029122595456,54.5
standard,BCwave_b1n3s10,1.0,3,10,150.0,1.8149459375275505,0.21151865462421082,54.5
standard,BCwave_b1n3s10,1.0,3,10,200.0,4.227889948421055,0.392432124181593,54.5
standard,BCwave_b1n3s10,1.0,3,10,250.0,7.115302577283647,0.48290067329856023,54.5
standard,BCwave_b1n3s10,1.0,3,10,300.0,9.91251691977183,0.4604958262651155,54.5
standard,BCwave_b1n3s10,1.0,3,10,400.0,13.889353900485569,0.24256540922434253,54.5
standard,BCwave_b1n3s10,1.0,3,10,500.0,15.034619620111254,0.036675300572123884,54.5
standard,BCwave_b1n3s10,1.0,3,10,600.0,13.78741619322035,0.3197908386969092,54.5
standard,BCwave_b1n3s10,1.0,3,10,700.0,10.999077269766065,0.5708160188168224,54.5
standard,BCwave_b1n3s10,1.0,3,10,850.0,5.550873945819007,0.8795874435285711,54.5
standard,BCwave_b1n3s10,1.0,3,10,925.0,2.728649100330141,1.0089366863625335,54.5
standard,BCwave_b1n3s10,1.0,3,10,975.0,0.9059410775701205,1.0598331353018566,54.5
standard,BCwave_b1n3s10,1.0,3,10,1000.0,0.0241348874300949,1.0705341736382166,54.5
standard,BCwave_b1n6s-10,1.0,6,-10,10.0,0.015594725629686461,0.004759641039522029,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,50.0,0.02777806467137351,0.005342000485245605,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,100.0,0.4040812120669418,0.04120436770914473,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,150.0,1.8038375212086573,0.13784186215639063,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,200.0,4.2108188231786094,0.25189856981236236,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,250.0,7.0927419821421305,0.32334838452153875,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,300.0,9.885473457972209,0.33058120415644887,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,400.0,13.856356231371562,0.19598082026142222,34.5
