figure,ensemble,b,metric,pressure_hpa,mean,bootstrap_ci_low,bootstrap_ci_high,n_ns_groups,group_mean_peak_abs_pressure_hpa,group_mean_peak_value
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,300.0,0.7402891564803818,0.6841937885231649,0.7962857795064338,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,400.0,1.7212152481079102,1.5883883570010464,1.854213808546774,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,500.0,2.3892261863996587,2.202216064712654,2.576272120156015,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,600.0,2.8208591043949127,2.5979068223387003,3.0433830079467348,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,700.0,3.072238046055039,2.8284501327046505,3.315484746126458,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,850.0,3.2434371610482535,2.986401602004965,3.500461459625512,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,925.0,3.263909990588824,3.0055070586968213,3.522340280081456,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,975.0,3.2516421439747014,2.9943832952994853,3.5089396491336324,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_vertical_wind_shear,1000.0,3.2413446189214787,2.984971368762975,3.497764105753352,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,10.0,0.07238289593563725,0.06695493149284934,0.07781174424962956,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,50.0,-0.09026867628563195,-0.09703861588301757,-0.08349880289946061,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,100.0,-0.5914565020551285,-0.6358612280746456,-0.5469549068948254,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,150.0,-1.5066682749117415,-1.620510610130926,-1.3922863857199748,15,,
